Fx Fz M_max M_min
-19.9 -6 0 0
-19.8 -6 0 0
-19.7 -6 0 0
-19.6 -6 0 0
-19.5 -6 0 0
-19.4 -6 0 0
-19.3 -6 0 0
-19.2 -6 0 0
-19.1 -6 0 0
-19 -6 0 0
-18.9 -6 0 0
-18.8 -6 0 0
-18.7 -6 0 0
-18.6 -6 0 0
-18.5 -6 0 0
-18.4 -6 0 0
-18.3 -6 0 0
-18.2 -6 0 0
-18.1 -6 0 0
-18 -6 0 0
-17.9 -6 0 0
-17.8 -6 0 0
-17.7 -6 0 0
-17.6 -6 0 0
-17.5 -6 0 0
-17.4 -6 0 0
-17.3 -6 0 0
-17.2 -6 0 0
-17.1 -6 0 0
-17 -6 0 0
-16.9 -6 0 0
-16.8 -6 0 0
-16.7 -6 0.389663 0.388964
-16.6 -6 0.396964 0.385275
-16.5 -6 0.404965 0.380887
-16.4 -6 0.412965 0.376499
-16.3 -6 0.420965 0.372111
-16.2 -6 0.428965 0.367724
-16.1 -6 0.436965 0.363336
-16 -6 0.444966 0.358948
-15.9 -6 0.452966 0.35456
-15.8 -6 0.460966 0.350172
-15.7 -6 0.468966 0.345784
-15.6 -6 0.476967 0.341396
-15.5 -6 0.484967 0.337009
-15.4 -6 0.492967 0.332621
-15.3 -6 0.500967 0.328233
-15.2 -6 0.508967 0.323845
-15.1 -6 0.516968 0.319457
-15 -6 0.524968 0.315069
-14.9 -6 0.532968 0.310681
-14.8 -6 0.540968 0.306294
-14.7 -6 0.548968 0.301906
-14.6 -6 0.556969 0.297518
-14.5 -6 0.564969 0.29313
-14.4 -6 0.572969 0.288742
-14.3 -6 0.580969 0.284354
-14.2 -6 0.58897 0.279966
-14.1 -6 0.59697 0.275579
-14 -6 0.60497 0.271191
-13.9 -6 0.61297 0.266803
-13.8 -6 0.62097 0.262415
-13.7 -6 0.628971 0.258027
-13.6 -6 0.636971 0.253639
-13.5 -6 0.644971 0.249251
-13.4 -6 0.652971 0.244864
-13.3 -6 0.660971 0.240476
-13.2 -6 0.668972 0.236088
-13.1 -6 0.676972 0.2317
-13 -6 0.684972 0.227312
-12.9 -6 0.692972 0.222924
-12.8 -6 0.700973 0.218536
-12.7 -6 0.708973 0.214149
-12.6 -6 1.19374 0.209761
-12.5 -6 0.714361 0.205373
-12.4 -6 0.711134 0.200985
-12.3 -6 0.707907 0.196597
-12.2 -6 0.70468 0.192209
-12.1 -6 0.701452 0.187821
-12 -6 0.698225 0.183434
-11.9 -6 0.694998 0.179046
-11.8 -6 0.691771 0.174658
-11.7 -6 0.688544 0.17027
-11.6 -6 0.685316 0.165882
-11.5 -6 0.682089 0.161494
-11.4 -6 0.678862 0.157106
-11.3 -6 0.675635 0.152719
-11.2 -6 0.672408 0.148331
-11.1 -6 0.66918 0.143943
-11 -6 0.665953 0.139555
-10.9 -6 0.662726 0.135167
-10.8 -6 0.659499 0.130779
-10.7 -6 0.656272 0.126391
-10.6 -6 0.653045 0.122004
-10.5 -6 0.649817 0.117616
-10.4 -6 0.64659 0.113228
-10.3 -6 0.643363 0.10884
-10.2 -6 0.640136 0.104452
-10.1 -6 0.636909 0.100064
-10 -6 0.633681 0.0956765
-9.9 -6 0.630454 0.0912886
-9.8 -6 0.627227 0.0869008
-9.7 -6 0.624 0.0825129
-9.6 -6 0.620773 0.0781251
-9.5 -6 0.617545 0.0737372
-9.4 -6 0.614318 0.0693494
-9.3 -6 0.611091 0.0649615
-9.2 -6 0.607864 0.0605736
-9.1 -6 0.604637 0.0561858
-9 -6 0.601409 0.0517979
-8.9 -6 0.598182 0.0474101
-8.8 -6 0.594955 0.0430222
-8.7 -6 0.591728 0.0386344
-8.6 -6 0.588501 0.0342465
-8.5 -6 0.585274 0.0298587
-8.4 -6 0.582046 0.0254708
-8.3 -6 0.578819 0.0210829
-8.2 -6 0.575592 0.0166951
-8.1 -6 0.572365 0.0123072
-8 -6 0.569138 0.00791938
-7.9 -6 0.56591 0.00353152
-7.8 -6 0.562683 -0.000856331
-7.7 -6 0.559456 -0.00524419
-7.6 -6 0.556229 -0.00963204
-7.5 -6 0.553002 -0.0140199
-7.4 -6 0.549774 -0.0184078
-7.3 -6 0.546547 -0.0227956
-7.2 -6 0.54332 -0.0271835
-7.1 -6 0.540093 -0.0315713
-7 -6 0.536866 -0.0359592
-6.9 -6 0.533638 -0.040347
-6.8 -6 0.530411 -0.0447349
-6.7 -6 0.527184 -0.0491227
-6.6 -6 0.523957 -0.0535106
-6.5 -6 0.52073 -0.0578984
-6.4 -6 0.517503 -0.0622863
-6.3 -6 0.514275 -0.0666742
-6.2 -6 0.511048 -0.071062
-6.1 -6 0.507821 -0.0754499
