Fx1 Fz1 M_max M_min
11 -7 0.299256 -0.275873
11.1 -7 0.29878 -0.275435
11.2 -7 0.298305 -0.274996
11.3 -7 0.297829 -0.274558
11.4 -7 0.297354 -0.274119
11.5 -7 0.296878 -0.273681
11.6 -7 0.296403 -0.273243
11.7 -7 0.295927 -0.272804
11.8 -7 0.295451 -0.272366
11.9 -7 0.294976 -0.271927
12 -7 0.2945 -0.271489
12.1 -7 0.294025 -0.271051
12.2 -7 0.293549 -0.270612
12.3 -7 0.293074 -0.270174
12.4 -7 0.292598 -0.269735
12.5 -7 0.292123 -0.269297
12.6 -7 0.291647 -0.268859
12.7 -7 0.291171 -0.26842
12.8 -7 0.290696 -0.267982
12.9 -7 0.29022 -0.267543
13 -7 0.289745 -0.267105
13.1 -7 0.289269 -0.266667
13.2 -7 0.288794 -0.266228
13.3 -7 0.288318 -0.26579
13.4 -7 0.287842 -0.265351
13.5 -7 0.287367 -0.264913
13.6 -7 0.286891 -0.264475
13.7 -7 0.286416 -0.264036
13.8 -7 0.28594 -0.263598
13.9 -7 0.285465 -0.263159
14 -7 0.284989 -0.262721
14.1 -7 0.284514 -0.262283
14.2 -7 0.284038 -0.261844
14.3 -7 0.283562 -0.261406
14.4 -7 0.283087 -0.260967
14.5 -7 0.282611 -0.260529
14.6 -7 0.282136 -0.260091
14.7 -7 0.28166 -0.259652
14.8 -7 0.281185 -0.259214
14.9 -7 0.280709 -0.258775
15 -7 0.280234 -0.258337
15.1 -7 0.279758 -0.257899
15.2 -7 0.279282 -0.25746
15.3 -7 0.278807 -0.257022
15.4 -7 0.278331 -0.256583
15.5 -7 0.277856 -0.256145
15.6 -7 0.27738 -0.255707
15.7 -7 0.276905 -0.255268
15.8 -7 0.276429 -0.25483
15.9 -7 0.275953 -0.254391
16 -7 0.275478 -0.253953
16.1 -7 0.275002 -0.253515
16.2 -7 0.274527 -0.253076
16.3 -7 0.274051 -0.252638
16.4 -7 0.273576 -0.252199
16.5 -7 0.2731 -0.251761
16.6 -7 0.272625 -0.251323
16.7 -7 0.272149 -0.250884
16.8 -7 0.271673 -0.250446
16.9 -7 0.271198 -0.250007
17 -7 0.270722 -0.249569
17.1 -7 0.270247 -0.249131
17.2 -7 0.269771 -0.248692
17.3 -7 0.269296 -0.248254
17.4 -7 0.26882 -0.247815
17.5 -7 0.268344 -0.236258
17.6 -7 0.267869 -0.225036
17.7 -7 0.267393 -0.213815
17.8 -7 0.266918 -0.202594
17.9 -7 0.266442 -0.191372
18 -7 0.265967 -0.180151
18.1 -7 0.265491 -0.168929
18.2 -7 0.265016 -0.157708
18.3 -7 0.26454 -0.146487
18.4 -7 0.264064 -0.135265
18.5 -7 0.263589 -0.124044
18.6 -7 0.263113 -0.112822
18.7 -7 0.262638 -0.101601
18.8 -7 0.262162 -0.0903797
18.9 -7 0.261687 -0.0791583
19 -7 0.261211 -0.0679369
19.1 -7 0.260736 -0.0567155
19.2 -7 0.26026 -0.0454941
19.3 -7 0.259784 -0.0342727
19.4 -7 0.259309 -0.0230514
19.5 -7 0.258833 -0.01183
19.6 -7 0.258358 -0.000608591
19.7 -7 0.257882 0.0106128
19.8 -7 0.257407 0.0218342
19.9 -7 0.256931 0.0330556
-20 -6 -0.0442769 -0.23287
-19.9 -6 -0.0330556 -0.233346
-19.8 -6 -0.0218342 -0.233821
-19.7 -6 -0.0106128 -0.234297
-19.6 -6 0.000608591 -0.234773
-19.5 -6 0.01183 -0.235248
-19.4 -6 0.0230514 -0.235724
-19.3 -6 0.0342727 -0.236199
-19.2 -6 0.0454941 -0.236675
-19.1 -6 0.0567155 -0.23715
-19 -6 0.0679369 -0.237626
-18.9 -6 0.0791583 -0.238101
-18.8 -6 0.0903797 -0.238577
-18.7 -6 0.101601 -0.239053
-18.6 -6 0.112822 -0.239528
-18.5 -6 0.124044 -0.240004
-18.4 -6 0.135265 -0.240479
-18.3 -6 0.146487 -0.240955
-18.2 -6 0.157708 -0.24143
-18.1 -6 0.168929 -0.241906
-18 -6 0.180151 -0.242382
-17.9 -6 0.191372 -0.242857
-17.8 -6 0.202594 -0.243333
-17.7 -6 0.213815 -0.243808
-17.6 -6 0.225196 -0.244284
-17.5 -6 0.225635 -0.244759
-17.4 -6 0.226073 -0.245235
-17.3 -6 0.226511 -0.24571
-17.2 -6 0.22695 -0.246186
-17.1 -6 0.227388 -0.246662
-17 -6 0.227827 -0.247137
-16.9 -6 0.228265 -0.247613
-16.8 -6 0.228703 -0.248088
-16.7 -6 0.229142 -0.248564
-16.6 -6 0.22958 -0.249039
-16.5 -6 0.230019 -0.249515
-16.4 -6 0.230457 -0.24999
-16.3 -6 0.230895 -0.250466
-16.2 -6 0.231334 -0.250942
-16.1 -6 0.231772 -0.251417
-16 -6 0.232211 -0.251893
-15.9 -6 0.232649 -0.252368
-15.8 -6 0.233087 -0.252844
-15.7 -6 0.233526 -0.253319
-15.6 -6 0.233964 -0.253795
-15.5 -6 0.234403 -0.254271
-15.4 -6 0.234841 -0.254746
-15.3 -6 0.235279 -0.255222
-15.2 -6 0.235718 -0.255697
-15.1 -6 0.236156 -0.256173
-15 -6 0.236595 -0.256648
-14.9 -6 0.237033 -0.257124
-14.8 -6 0.237471 -0.257599
-14.7 -6 0.23791 -0.258075
-14.6 -6 0.238348 -0.258551
-14.5 -6 0.238787 -0.259026
-14.4 -6 0.239225 -0.259502
-14.3 -6 0.239663 -0.259977
-14.2 -6 0.240102 -0.260453
-14.1 -6 0.24054 -0.260928
-14 -6 0.240979 -0.261404
-13.9 -6 0.241417 -0.261879
-13.8 -6 0.241855 -0.262355
-13.7 -6 0.242294 -0.262831
-13.6 -6 0.242732 -0.263306
-13.5 -6 0.243171 -0.263782
-13.4 -6 0.243609 -0.264257
-13.3 -6 0.244047 -0.264733
-13.2 -6 0.244486 -0.265208
-13.1 -6 0.244924 -0.265684
-13 -6 0.245363 -0.26616
-12.9 -6 0.245801 -0.266635
-12.8 -6 0.246239 -0.267111
-12.7 -6 0.246678 -0.267586
-12.6 -6 0.247116 -0.268062
-12.5 -6 0.247555 -0.268537
-12.4 -6 0.247993 -0.269013
-12.3 -6 0.248431 -0.269488
-12.2 -6 0.24887 -0.269964
-12.1 -6 0.249308 -0.27044
-12 -6 0.249747 -0.270915
-11.9 -6 0.250185 -0.271391
-11.8 -6 0.250623 -0.271866
-11.7 -6 0.251062 -0.272342
-11.6 -6 0.2515 -0.272817
-11.5 -6 0.251939 -0.273293
-11.4 -6 0.252377 -0.273769
-11.3 -6 0.252816 -0.274244
-11.2 -6 0.253254 -0.27472
-11.1 -6 0.253692 -0.275195
-11 -6 0.254131 -0.275671
-10.9 -6 0.254569 -0.276146
-10.8 -6 0.255008 -0.276622
-10.7 -6 0.255446 -0.277097
-10.6 -6 0.255884 -0.277573
-10.5 -6 0.256323 -0.278049
-10.4 -6 0.256761 -0.278524
-10.3 -6 0.2572 -0.279
-10.2 -6 0.257638 -0.279475
-10.1 -6 0.258076 -0.279951
-10 -6 0.258515 -0.280426
-9.9 -6 0.258953 -0.280902
-9.8 -6 0.259392 -0.281377
-9.7 -6 0.25983 -0.281853
-9.6 -6 0.260268 -0.282329
-9.5 -6 0.260707 -0.282804
-9.4 -6 0.261145 -0.28328
-9.3 -6 0.261584 -0.283755
-9.2 -6 0.262022 -0.284231
-9.1 -6 0.26246 -0.284706
-9 -6 0.262899 -0.285182
-8.9 -6 0.263337 -0.285658
-8.8 -6 0.263776 -0.286133
-8.7 -6 0.264214 -0.286609
-8.6 -6 0.264652 -0.287084
-8.5 -6 0.265091 -0.28756
-8.4 -6 0.265529 -0.288035
-8.3 -6 0.265968 -0.288511
-8.2 -6 0.266406 -0.288986
-8.1 -6 0.266844 -0.289462
-8 -6 0.267283 -0.289938
-7.9 -6 0.267721 -0.290413
-7.8 -6 0.26816 -0.290889
-7.7 -6 0.268598 -0.291364
-7.6 -6 0.269036 -0.29184
-7.5 -6 0.269475 -0.292315
-7.4 -6 0.269913 -0.292791
-7.3 -6 0.270352 -0.293266
-7.2 -6 0.27079 -0.293742
-7.1 -6 0.271228 -0.294218
-7 -6 0.271667 -0.294693
-6.9 -6 0.272105 -0.295169
-6.8 -6 0.272544 -0.295644
-6.7 -6 0.272982 -0.29612
-6.6 -6 0.27342 -0.296595
-6.5 -6 0.273859 -0.297071
-6.4 -6 0.274297 -0.297547
-6.3 -6 0.274736 -0.298022
-6.2 -6 0.275174 -0.298498
-6.1 -6 0.275612 -0.298973
-6 -6 0.276051 -0.299449
-5.9 -6 0.276489 -0.299924
-5.8 -6 0.276928 -0.3004
-5.7 -6 0.277366 -0.300875
-5.6 -6 0.277804 -0.301351
-5.5 -6 0.278243 -0.301827
-5.4 -6 0.278681 -0.302302
-5.3 -6 0.27912 -0.302778
-5.2 -6 0.279558 -0.303253
-5.1 -6 0.279996 -0.303729
-5 -6 0.280435 -0.304204
-4.9 -6 0.280873 -0.30468
-4.8 -6 0.281312 -0.305156
-4.7 -6 0.28175 -0.305631
-4.6 -6 0.282188 -0.306107
-4.5 -6 0.282627 -0.306582
-4.4 -6 0.283065 -0.307058
-4.3 -6 0.283504 -0.307533
-4.2 -6 0.283942 -0.308009
-4.1 -6 0.28438 -0.308484
-4 -6 0.284819 -0.30896
-3.9 -6 0.285257 -0.309436
-3.8 -6 0.285696 -0.309911
-3.7 -6 0.286134 -0.310387
-3.6 -6 0.286572 -0.310862
-3.5 -6 0.287011 -0.311338
-3.4 -6 0.287449 -0.311813
-3.3 -6 0.287888 -0.312289
-3.2 -6 0.288326 -0.312764
-3.1 -6 0.288764 -0.31324
-3 -6 0.289203 -0.313716
-2.9 -6 0.289641 -0.314191
-2.8 -6 0.29008 -0.314667
-2.7 -6 0.290518 -0.314192
-2.6 -6 0.290956 -0.313753
-2.5 -6 0.291395 -0.313315
-2.4 -6 0.291833 -0.312877
-2.3 -6 0.292272 -0.312438
-2.2 -6 0.29271 -0.312
-2.1 -6 0.293148 -0.311561
-2 -6 0.293587 -0.311123
-1.9 -6 0.294025 -0.310685
-1.8 -6 0.294464 -0.310246
-1.7 -6 0.294902 -0.309808
-1.6 -6 0.29534 -0.309369
-1.5 -6 0.295779 -0.308931
-1.4 -6 0.296217 -0.308493
-1.3 -6 0.296656 -0.308054
-1.2 -6 0.297094 -0.307616
-1.1 -6 0.297532 -0.307177
-1 -6 0.297971 -0.306739
-0.9 -6 0.298409 -0.306301
-0.8 -6 0.298848 -0.305862
-0.7 -6 0.299286 -0.305424
-0.6 -6 0.299725 -0.304985
