Fx Fz M_max M_min
-19.1 -5 0 0
-19 -5 0 0
-18.9 -5 0 0
-18.8 -5 0 0
-18.7 -5 0 0
-18.6 -5 0 0
-18.5 -5 0 0
-18.4 -5 0 0
-18.3 -5 0 0
-18.2 -5 0 0
-18.1 -5 0 0
-18 -5 0 0
-17.9 -5 0 0
-17.8 -5 0 0
-17.7 -5 0 0
-17.6 -5 0 0
-17.5 -5 0 0
-17.4 -5 0 0
-17.3 -5 0 0
-17.2 -5 0 0
-17.1 -5 0 0
-17 -5 0 0
-16.9 -5 0 0
-16.8 -5 0 0
-16.7 -5 0 0
-16.6 -5 0 0
-16.5 -5 0 0
-16.4 -5 0 0
-16.3 -5 0 0
-16.2 -5 0 0
-16.1 -5 0 0
-16 -5 0 0
-15.9 -5 0 0
-15.8 -5 0 0
-15.7 -5 0 0
-15.6 -5 0 0
-15.5 -5 0 0
-15.4 -5 0 0
-15.3 -5 0 0
-15.2 -5 0 0
-15.1 -5 0 0
-15 -5 0 0
-14.9 -5 0 0
-14.8 -5 0 0
-14.7 -5 0 0
-14.6 -5 0 0
-14.5 -5 0 0
-14.4 -5 0 0
-14.3 -5 0 0
-14.2 -5 0 0
-14.1 -5 0 0
-14 -5 0 0
-13.9 -5 0 0
-13.8 -5 0 0
-13.7 -5 0 0
-13.6 -5 0 0
-13.5 -5 0 0
-13.4 -5 0 0
-13.3 -5 0 0
-13.2 -5 0 0
-13.1 -5 0 0
-13 -5 0 0
-12.9 -5 0 0
-12.8 -5 0 0
-12.7 -5 0 0
-12.6 -5 0 0
-12.5 -5 0 0
-12.4 -5 0 0
-12.3 -5 0 0
-12.2 -5 0 0
-12.1 -5 0 0
-12 -5 0 0
-11.9 -5 0 0
-11.8 -5 0 0
-11.7 -5 0 0
-11.6 -5 0 0
-11.5 -5 0 0
-11.4 -5 0 0
-11.3 -5 0 0
-11.2 -5 0 0
-11.1 -5 0 0
-11 -5 0 0
-10.9 -5 0 0
-10.8 -5 0 0
-10.7 -5 0 0
-10.6 -5 0 0
-10.5 -5 0 0
-10.4 -5 0 0
-10.3 -5 0 0
-10.2 -5 0 0
-10.1 -5 0 0
-10 -5 0 0
-9.9 -5 0 0
-9.8 -5 0 0
-9.7 -5 0 0
-9.6 -5 0 0
-9.5 -5 0 0
-9.4 -5 0 0
-9.3 -5 0 0
-9.2 -5 0 0
-9.1 -5 0 0
-9 -5 0 0
-8.9 -5 0 0
-8.8 -5 0 0
-8.7 -5 0 0
-8.6 -5 0 0
-8.5 -5 0 0
-8.4 -5 0 0
-8.3 -5 0 0
-8.2 -5 0 0
-8.1 -5 0 0
-8 -5 0 0
-7.9 -5 0 0
-7.8 -5 0 0
-7.7 -5 0 0
-7.6 -5 0 0
-7.5 -5 0 0
-7.4 -5 0 0
-7.3 -5 0 0
-7.2 -5 0 0
-7.1 -5 0 0
-7 -5 0 0
-6.9 -5 0 0
-6.8 -5 0 0
-6.7 -5 0 0
-6.6 -5 0 0
-6.5 -5 0 0
-6.4 -5 0.0859863 0.0816843
-6.3 -5 0.0939865 0.0772964
-6.2 -5 0.101987 0.0729086
-6.1 -5 0.109987 0.0685207
-6 -5 0.117987 0.0641329
-5.9 -5 0.125987 0.059745
-5.8 -5 0.133988 0.0553572
-5.7 -5 0.141988 0.0509693
-5.6 -5 0.149988 0.0465815
-5.5 -5 0.157988 0.0421936
-5.4 -5 0.165988 0.0378057
-5.3 -5 0.173989 0.0334179
-5.2 -5 0.181989 0.02903
-5.1 -5 0.189989 0.0246422
-5 -5 0.197989 0.0202543
-4.9 -5 0.205989 0.0158665
-4.8 -5 0.21399 0.0114786
-4.7 -5 0.22199 0.00709076
-4.6 -5 0.22999 0.0027029
-4.5 -5 0.23799 -0.00168495
-4.4 -5 0.245991 -0.00607281
-4.3 -5 0.253991 -0.0104607
-4.2 -5 0.261991 -0.0148485
-4.1 -5 0.269991 -0.0192364
-4 -5 0.277991 -0.0236242
-3.9 -5 0.285992 -0.0280121
-3.8 -5 0.293992 -0.0323999
-3.7 -5 0.299887 -0.0367878
-3.6 -5 0.29666 -0.0411757
-3.5 -5 0.293432 -0.0455635
-3.4 -5 0.290205 -0.0499514
-3.3 -5 0.286978 -0.0543392
-3.2 -5 0.283751 -0.0587271
-3.1 -5 0.280524 -0.0631149
-3 -5 0.277296 -0.0675028
-2.9 -5 0.274069 -0.0718906
-2.8 -5 0.270842 -0.0762785
-2.7 -5 0.267615 -0.0806663
-2.6 -5 0.264388 -0.0850542
-2.5 -5 0.26116 -0.0894421
-2.4 -5 0.257933 -0.0938299
-2.3 -5 0.254706 -0.0982178
-2.2 -5 0.251479 -0.102606
-2.1 -5 0.248252 -0.106993
-2 -5 0.245025 -0.111381
-1.9 -5 0.241797 -0.115769
-1.8 -5 0.23857 -0.120157
-1.7 -5 0.235343 -0.124545
-1.6 -5 0.29258 -0.128846
-1.5 -5 0.228889 -0.132073
-1.4 -5 0.225661 -0.1353
-1.3 -5 0.222434 -0.138527
-1.2 -5 0.219207 -0.141754
-1.1 -5 0.21598 -0.144982
-1 -5 0.212753 -0.148209
-0.9 -5 0.209525 -0.151436
-0.8 -5 0.206298 -0.154663
-0.7 -5 0.203071 -0.15789
-0.6 -5 0.199844 -0.161118
-0.5 -5 0.196617 -0.164345
-0.4 -5 0.193389 -0.167572
-0.3 -5 0.190162 -0.170799
-0.2 -5 0.186935 -0.174026
-0.1 -5 0.183708 -0.177254
